Geographic area,Instruction,Total,Pupil support services,Instructional staff support services,General administration,School administration,Operation and maintenance of plant,Student transportation,Other and nonspecified support services,Food services
  Reporting Areas,381789179,222548566,42559088,30774815,11909753,33105822,54989392,25061212,24148484,20722006
Alabama,4967613,3289651,664339,395062,238056,507848,848126,426491,209729,555536
Alaska,1398749,1134265,200267,252337,37445,156030,295166,76555,116465,79552
Arizona,5086649,3791856,849621,532325,154314,436953,1055119,399693,363831,463043
Arkansas,3099535,2256382,315559,505473,139193,279289,621957,205627,189284,298244
California,55429347,36007051,7521047,5838522,1447979,5883463,8573610,1889714,4852716,3167357
Colorado,6772139,4884622,840345,649648,206748,858773,1109469,331432,888207,357264
Connecticut,7293097,4166230,886734,435055,254510,638293,977480,604776,369382,274016
Delaware,1301552,996679,273554,99371,21654,118062,272377,118674,92987,77464
District of Columbia,711688,626347,148324,95661,65128,84878,102440,73780,56136,46313
Florida,18612485,10961082,1598221,2000201,383750,1634810,3294917,1088371,960812,1499690
Georgia,13985106,7998406,1389899,1220869,362656,1389739,1741865,1075981,817397,1089877
Hawaii,1756019,1103007,315420,91691,7065,206885,328437,62708,90801,157810
Idaho,1638576,1007837,164763,171557,56775,152960,254091,119657,88034,124399
Illinois,21381815,13278351,2824619,1373548,1026759,1802097,3097037,1541413,1612878,906534
Iowa,3999465,2493874,420541,439588,170522,388681,616942,244434,213166,269732
Kentucky,5190955,3248500,473981,484166,190305,504692,767950,476816,350590,453216
Maryland,9841829,5377149,792980,821251,138742,1013975,1383190,780579,446432,422426
Massachusetts,13123261,6875001,1692978,1021377,273554,850450,1696756,883639,456247,306717
Michigan,10969213,7895393,1815646,1067661,310289,1014694,1695759,771684,1219660,696386
Minnesota,7843347,3929007,479823,666793,469077,477724,840500,690416,304674,520380
Mississippi,2704364,1783378,271920,229737,159949,272475,487383,221563,140351,268730
Missouri,6136678,4372145,772176,441800,656563,617509,1087507,552308,244282,479508
Montana,1192413,739307,134924,65509,63811,111260,203299,93425,67079,88853
Nebraska,2901830,1561299,248943,138406,116476,233502,423709,133637,266626,203740
New Hampshire,2220502,1174447,276428,109535,119240,187072,276606,155739,49827,85637
New Jersey,21267059,12221063,3870074,1191847,577433,1498084,2957517,1316965,809143,730216
New York,49821957,18811481,1918356,1826308,1022141,2961781,5427793,3692793,1962309,1065512
North Carolina,10810348,5511758,1064107,626131,173151,988692,1369684,708426,581567,799133
North Dakota,1110707,600851,76669,65441,75691,92206,160870,71275,58699,88894
Ohio,14212720,9235882,1905874,1019395,689055,1204386,2053498,1138092,1225582,783230
Oklahoma,3804479,2730264,521127,278255,201748,376268,867943,207330,277593,372184
Oregon,5273438,3511038,788631,364013,124458,546851,663564,362774,660747,253087
Pennsylvania,20818394,10209977,1788756,1126285,754775,1252356,2638772,1459870,1189163,880021
Rhode Island,1569664,1011811,301973,116201,36673,123442,211053,115670,106799,66401
South Carolina,4702198,3153702,649598,495979,72477,509202,809192,240624,376630,393935
South Dakota,960985,590579,96397,67585,55299,79572,170584,60065,61077,84384
Tennessee,6631790,3942021,644310,766183,235207,671707,871750,418928,333936,566270
Vermont,1285302,810180,216986,103136,37809,143795,163337,70090,75027,59237
Virginia,11240461,6878671,1048430,1453771,291684,1070363,1723520,938231,352672,696149
Washington,10726904,7124956,1516757,1306827,187279,1077745,1472702,687692,875954,483777
Wisconsin,6993934,4592212,664330,742104,260497,597863,1204873,473096,649449,450599
Wyoming,1000612,660854,113661,78211,43816,89395,171048,80179,84544,56553
