FIPS_code,Country,grpName,Lit_P1,Lit_P1_CI_L,Lit_P1_CI_U,Lit_P1_CV,Lit_P2,Lit_P2_CI_L,Lit_P2_CI_U,Lit_P2_CV,Lit_P3,Lit_P3_CI_L,Lit_P3_CI_U,Lit_P3_CV,Lit_A,Lit_A_CI_L,Lit_A_CI_U,Lit_A_CV,Num_P1,Num_P1_CI_L,Num_P1_CI_U,Num_P1_CV,Num_P2,Num_P2_CI_L,Num_P2_CI_U,Num_P2_CV,Num_P3,Num_P3_CI_L,Num_P3_CI_U,Num_P3_CV,Num_A,Num_A_CI_L,Num_A_CI_U,Num_A_CV,POP,POP_DOMAIN,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance
0,United States,all,0.22,0.21,0.23,0.02,0.32,0.31,0.34,0.02,0.46,0.45,0.47,0.01,263.50,262.30,264.70,0.00,0.32,0.31,0.33,0.02,0.32,0.31,0.33,0.02,0.36,0.35,0.37,0.02,249.10,247.80,250.40,0.00,321004407.00,235568690.00,0.49,0.51,0.73,0.13,0.18,0.05,0.01,0.00,0.08,0.13,0.27,0.60,0.21,0.02,0.07,0.04,0.13,0.15,0.24,0.13,0.69,0.05,0.26,0.37,0.18,0.24,0.09,0.00,0.12,0.11
0,United States,16_24,0.17,0.14,0.19,0.07,0.38,0.34,0.42,0.05,0.45,0.42,0.48,0.04,266.80,264.10,269.60,0.01,0.27,0.24,0.30,0.05,0.38,0.34,0.42,0.06,0.35,0.32,0.38,0.05,253.70,250.80,256.70,0.01,NA,39526050.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.45,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,0.18
0,United States,25_34,0.16,0.14,0.19,0.07,0.30,0.26,0.33,0.06,0.54,0.51,0.57,0.03,274.80,271.60,278.00,0.01,0.21,0.19,0.23,0.05,0.31,0.28,0.35,0.06,0.48,0.45,0.51,0.03,266.50,263.30,269.70,0.01,NA,44044175.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10,NA,0.66,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,0.19
0,United States,35_44,0.22,0.19,0.25,0.06,0.31,0.27,0.35,0.07,0.47,0.44,0.50,0.03,265.20,261.60,268.80,0.01,0.26,0.23,0.28,0.05,0.30,0.26,0.34,0.07,0.45,0.41,0.48,0.04,259.00,255.60,262.50,0.01,NA,40656420.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,0.64,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,0.16
0,United States,45_54,0.25,0.23,0.28,0.06,0.31,0.27,0.35,0.07,0.44,0.41,0.47,0.04,260.90,257.20,264.50,0.01,0.30,0.27,0.32,0.05,0.31,0.27,0.35,0.07,0.40,0.37,0.43,0.04,251.90,248.30,255.50,0.01,NA,43091145.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,0.60,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,0.13
0,United States,55_64,0.25,0.22,0.27,0.06,0.35,0.31,0.39,0.06,0.40,0.37,0.43,0.04,258.10,254.80,261.40,0.01,0.29,0.27,0.32,0.05,0.35,0.31,0.39,0.06,0.36,0.33,0.39,0.04,251.90,248.40,255.30,0.01,NA,40747520.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,0.60,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,0.09
0,United States,65_74,0.32,0.28,0.35,0.06,0.37,0.32,0.41,0.07,0.32,0.28,0.35,0.05,246.60,242.70,250.70,0.01,0.37,0.33,0.40,0.05,0.35,0.30,0.39,0.07,0.29,0.26,0.32,0.06,239.50,235.60,243.20,0.01,NA,27503390.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,0.57,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,0.01
0,United States,Less_than_high_school,0.55,0.51,0.58,0.03,0.31,0.27,0.34,0.07,0.15,0.13,0.17,0.08,214.60,211.00,218.20,0.01,0.50,0.47,0.53,0.03,0.24,0.20,0.28,0.09,0.26,0.23,0.29,0.06,209.40,206.10,212.80,0.01,NA,35165785.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,0.24
0,United States,High_school,0.31,0.29,0.34,0.04,0.42,0.38,0.45,0.04,0.27,0.25,0.29,0.04,245.30,243.10,247.60,0.01,0.41,0.39,0.44,0.03,0.37,0.34,0.40,0.04,0.22,0.20,0.24,0.05,233.20,230.80,235.50,0.01,NA,61622425.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,0.14
0,United States,Some_college,0.14,0.13,0.16,0.06,0.38,0.35,0.40,0.04,0.48,0.46,0.51,0.02,271.10,268.80,273.30,0.00,0.23,0.21,0.25,0.04,0.40,0.37,0.43,0.04,0.37,0.35,0.40,0.03,258.00,255.70,260.20,0.00,NA,72942030.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,0.10
